2024-05-31 08:20:54,715 - Total number of samples: 875
2024-05-31 08:23:01,497 - Batch [31 / 54], Loss: 17.517708
2024-05-31 08:23:03,133 - Batch [32 / 54], Loss: 22.256449
2024-05-31 08:23:04,772 - Batch [33 / 54], Loss: 18.056145
2024-05-31 08:23:06,399 - Batch [34 / 54], Loss: 18.192627
2024-05-31 08:23:08,018 - Batch [35 / 54], Loss: 11.776056
2024-05-31 08:23:09,691 - Batch [36 / 54], Loss: 16.783150
2024-05-31 08:23:11,346 - Batch [37 / 54], Loss: 19.213797
2024-05-31 08:23:13,010 - Batch [38 / 54], Loss: 16.930874
2024-05-31 08:23:14,665 - Batch [39 / 54], Loss: 17.072371
2024-05-31 08:23:16,297 - Batch [40 / 54], Loss: 20.362274
2024-05-31 08:23:17,926 - Batch [41 / 54], Loss: 16.225893
2024-05-31 08:23:19,531 - Batch [42 / 54], Loss: 13.091222
2024-05-31 08:23:21,137 - Batch [43 / 54], Loss: 16.558266
2024-05-31 08:23:22,730 - Batch [44 / 54], Loss: 16.698771
2024-05-31 08:23:24,339 - Batch [45 / 54], Loss: 15.539661
2024-05-31 08:23:25,926 - Batch [46 / 54], Loss: 13.978856
2024-05-31 08:23:27,505 - Batch [47 / 54], Loss: 15.979746
2024-05-31 08:23:29,068 - Batch [48 / 54], Loss: 10.723221
2024-05-31 08:23:30,654 - Batch [49 / 54], Loss: 12.367432
2024-05-31 08:23:32,248 - Batch [50 / 54], Loss: 12.310987
2024-05-31 08:23:33,819 - Batch [51 / 54], Loss: 14.745645
2024-05-31 08:23:35,403 - Batch [52 / 54], Loss: 11.717579
2024-05-31 08:23:36,983 - Batch [53 / 54], Loss: 12.476880
2024-05-31 08:23:38,560 - Batch [54 / 54], Loss: 16.966345
2024-05-31 08:23:39,903 - Epoch Time: 1.4414665857950846 minutes
2024-05-31 08:23:39,903 - Epoch: 3
2024-05-31 08:23:39,903 - Current Learning Rate: [0.01]
2024-05-31 08:23:40,235 - Batch [1 / 54], Loss: 12.320551
2024-05-31 08:23:41,820 - Batch [2 / 54], Loss: 14.608943
2024-05-31 08:23:43,420 - Batch [3 / 54], Loss: 12.310715
2024-05-31 08:23:45,032 - Batch [4 / 54], Loss: 16.125681
2024-05-31 08:23:46,661 - Batch [5 / 54], Loss: 9.754022
2024-05-31 08:23:48,290 - Batch [6 / 54], Loss: 10.404364
2024-05-31 08:23:49,900 - Batch [7 / 54], Loss: 12.799596
2024-05-31 08:23:51,550 - Batch [8 / 54], Loss: 13.069684
2024-05-31 08:23:53,197 - Batch [9 / 54], Loss: 12.265548
2024-05-31 08:23:54,848 - Batch [10 / 54], Loss: 11.613148
2024-05-31 08:23:56,493 - Batch [11 / 54], Loss: 8.659082
2024-05-31 08:23:58,148 - Batch [12 / 54], Loss: 11.122976
2024-05-31 08:23:59,819 - Batch [13 / 54], Loss: 14.349811
2024-05-31 08:24:01,497 - Batch [14 / 54], Loss: 13.587480
2024-05-31 08:24:03,176 - Batch [15 / 54], Loss: 13.244066
2024-05-31 08:24:04,886 - Batch [16 / 54], Loss: 12.157821
