2024-05-31 10:00:25,330 - Total number of samples: 875
2024-05-31 10:01:14,257 - Batch [31 / 54], Loss: 15.149506
2024-05-31 10:01:14,601 - Batch [32 / 54], Loss: 17.282133
2024-05-31 10:01:14,969 - Batch [33 / 54], Loss: 13.975591
2024-05-31 10:01:15,332 - Batch [34 / 54], Loss: 14.536468
2024-05-31 10:01:15,689 - Batch [35 / 54], Loss: 13.834577
2024-05-31 10:01:16,535 - Batch [36 / 54], Loss: 14.309379
2024-05-31 10:01:17,308 - Batch [37 / 54], Loss: 12.387555
2024-05-31 10:01:17,850 - Batch [38 / 54], Loss: 17.078403
2024-05-31 10:01:18,502 - Batch [39 / 54], Loss: 16.772684
2024-05-31 10:01:19,056 - Batch [40 / 54], Loss: 15.424694
2024-05-31 10:01:19,529 - Batch [41 / 54], Loss: 14.052371
2024-05-31 10:01:19,996 - Batch [42 / 54], Loss: 21.344538
2024-05-31 10:01:20,458 - Batch [43 / 54], Loss: 14.481497
2024-05-31 10:01:21,006 - Batch [44 / 54], Loss: 17.443113
2024-05-31 10:01:21,576 - Batch [45 / 54], Loss: 10.894236
2024-05-31 10:01:22,066 - Batch [46 / 54], Loss: 14.087807
2024-05-31 10:01:22,552 - Batch [47 / 54], Loss: 16.170662
2024-05-31 10:01:23,186 - Batch [48 / 54], Loss: 12.980209
2024-05-31 10:01:23,990 - Batch [49 / 54], Loss: 14.869026
2024-05-31 10:01:24,469 - Batch [50 / 54], Loss: 14.465606
2024-05-31 10:01:25,150 - Batch [51 / 54], Loss: 16.196600
2024-05-31 10:01:25,619 - Batch [52 / 54], Loss: 21.183126
2024-05-31 10:01:26,101 - Batch [53 / 54], Loss: 16.538197
2024-05-31 10:01:26,610 - Batch [54 / 54], Loss: 16.565691
2024-05-31 10:01:26,973 - Epoch Time: 0.4659974813461304 minutes
2024-05-31 10:01:26,974 - Epoch: 3
2024-05-31 10:01:26,974 - Current Learning Rate: [0.01]
2024-05-31 10:01:27,233 - Batch [1 / 54], Loss: 16.177397
2024-05-31 10:01:27,718 - Batch [2 / 54], Loss: 20.448242
2024-05-31 10:01:28,197 - Batch [3 / 54], Loss: 16.750189
2024-05-31 10:01:28,819 - Batch [4 / 54], Loss: 17.424101
2024-05-31 10:01:29,132 - Batch [5 / 54], Loss: 16.282822
2024-05-31 10:01:29,641 - Batch [6 / 54], Loss: 16.381390
2024-05-31 10:01:30,055 - Batch [7 / 54], Loss: 17.121759
2024-05-31 10:01:30,438 - Batch [8 / 54], Loss: 13.562742
2024-05-31 10:01:30,778 - Batch [9 / 54], Loss: 12.754919
2024-05-31 10:01:31,128 - Batch [10 / 54], Loss: 18.135729
2024-05-31 10:01:31,554 - Batch [11 / 54], Loss: 16.243927
2024-05-31 10:01:32,040 - Batch [12 / 54], Loss: 15.667535
2024-05-31 10:01:32,527 - Batch [13 / 54], Loss: 17.906910
2024-05-31 10:01:33,023 - Batch [14 / 54], Loss: 12.716617
2024-05-31 10:01:33,487 - Batch [15 / 54], Loss: 17.332680
2024-05-31 10:01:33,983 - Batch [16 / 54], Loss: 15.186538
2024-05-31 10:01:34,481 - Batch [17 / 54], Loss: 14.784059
2024-05-31 10:01:34,946 - Batch [18 / 54], Loss: 16.790476
2024-05-31 10:01:35,427 - Batch [19 / 54], Loss: 13.946873
2024-05-31 10:01:35,953 - Batch [20 / 54], Loss: 12.381890
2024-05-31 10:01:36,431 - Batch [21 / 54], Loss: 16.890978
2024-05-31 10:01:37,006 - Batch [22 / 54], Loss: 12.250221
2024-05-31 10:01:37,496 - Batch [23 / 54], Loss: 14.357452
2024-05-31 10:01:37,977 - Batch [24 / 54], Loss: 17.499268
2024-05-31 10:01:38,455 - Batch [25 / 54], Loss: 12.236164
2024-05-31 10:01:38,950 - Batch [26 / 54], Loss: 12.631978
2024-05-31 10:01:39,425 - Batch [27 / 54], Loss: 10.584220
2024-05-31 10:01:40,368 - Batch [28 / 54], Loss: 13.051196
2024-05-31 10:01:41,045 - Batch [29 / 54], Loss: 13.437489
2024-05-31 10:01:41,828 - Batch [30 / 54], Loss: 13.572273
2024-05-31 10:01:42,341 - Batch [31 / 54], Loss: 15.302196
2024-05-31 10:01:42,843 - Batch [32 / 54], Loss: 10.566565
